day,temperature
1,58.06300745611698
6,73.66165334854013
7,63.50985995996092
16,70.4303596710761
17,74.72137288893568
18,73.49949765277519
25,79.47200036965468
36,88.14432357757278
44,89.0977947313132
52,100.284996648905
55,106.96356268883963
59,82.27735326140237
67,103.80434115039954
68,107.84370306636572
68,107.84370306636572
68,107.84370306636572
71,102.9220610903052
79,114.23262850616621
80,104.06946752132859
88,108.45293221637986
95,117.16945099228329
96,108.73751622831004
97,98.38004068146357
104,111.47242050381254
104,111.47242050381254
104,111.47242050381254
106,97.7040101334292
107,113.2226098407549
113,106.94494302796807
114,99.47525222516407
119,110.02418191580688
123,103.62291452166234
125,100.61026237502067
126,100.58983552902366
134,92.42887940677258
135,90.57964076429681
136,94.98725571903894
138,84.6599129628376
140,84.15334544147638
143,92.711312163061
146,92.50360277089487
146,92.50360277089487
148,85.47492188582657
152,88.99763536289879
154,88.1981978429511
156,83.7713319963067
156,83.7713319963067
170,73.03690002381983
171,83.15244840761267
172,81.51078932425112
177,77.04132942955263
178,62.29776777557037
181,69.7434759590485
186,70.01370145361572
187,71.58929213131795
189,67.16573709401612
192,63.35254324161634
193,61.9175552896537
198,54.705888325770026
199,53.55321869609564
200,61.69897768969592
200,61.69897768969592
203,48.862447374948225
206,50.033920228072255
208,50.16069734293007
209,60.40926680772684
214,38.88834845822322
226,43.05533913362726
230,53.196721105060455
231,35.977949980669266
232,42.77273324392695
235,35.588336960295415
238,37.15250852292886
243,37.57483225997169
246,38.95326558530644
247,36.976718447183764
249,36.6140877147825
260,20.776290100132904
263,28.12136536279653
272,24.180611943008447
272,24.180611943008447
274,29.14227265374745
276,26.797993781818036
283,36.860074266177406
287,32.41058916017035
292,32.90133611999709
298,33.19377667306185
298,33.19377667306185
302,28.41353771752819
302,28.41353771752819
304,42.983635765531176
316,40.694799065926304
328,47.318947043597355
330,48.2212334368331
335,50.49147064740961
339,49.927121752271646
339,49.927121752271646
346,53.56338346380312
349,53.90165999844827
357,56.85168239712339
361,73.0766025199458
363,74.8270173143399
365,67.9011923647339
365,67.9011923647339
368,68.56033309748624
368,68.56033309748624
372,77.39494405422512
377,69.45346398199408
383,75.0062199771065
395,88.92285729930121
399,77.89745057923604
403,90.04640881122745
404,89.2868049260097
404,89.2868049260097
413,97.4259488789116
414,96.45803480170629
416,96.54149127701936
418,91.44347227132029
420,102.48780656324095
420,102.48780656324095
421,105.7860206020541
422,89.68680842006137
424,97.28034303234197
430,93.08159646313742
430,93.08159646313742
435,103.56751639289712
440,97.12337933130486
440,97.12337933130486
444,101.33683285133962
453,105.87456841122008
453,105.87456841122008
458,107.46524722364377
458,107.46524722364377
467,109.17931867214804
470,102.50048877704725
472,102.11711043904528
480,98.74267036527145
489,99.67175431211358
502,90.88607322967162
505,79.58383723812854
510,85.40984023917248
513,90.83654030627086
514,87.88831044351345
514,87.88831044351345
519,86.77386431984125
524,66.10356353882412
529,75.55844777851402
539,64.53564071637808
546,59.25189796589173
551,51.34704665495097
553,50.77566650377897
554,52.38480703061697
557,46.46033663221349
558,53.152049818780206
570,37.71578968226867
572,26.56399126949371
575,34.14279723650145
584,22.024103269357738
585,28.11055010322757
589,23.432859437575807
589,23.432859437575807
595,30.448443234850345
595,30.448443234850345
600,28.24623872718625
600,28.24623872718625
601,22.72177845083872
603,22.226177212636642
608,20.324105879048453
609,16.59161585945683
616,16.715461541270706
616,16.715461541270706
619,14.28760500203396
626,13.787626703262228
628,15.086513925105708
629,15.564453031818964
629,15.564453031818964
631,13.446329022000041
638,15.570778439701048
641,7.343600227673213
657,8.066440030529709
658,6.452436689147949
660,19.021167964619643
661,8.546445154971424
668,14.626452710438716
669,14.67313318235218
673,14.53539703753562
674,16.296450471768875
681,22.821701500005894
689,23.162703385850364
690,35.04492555070184
692,27.23248893615831
695,25.77570272446088
695,25.77570272446088
695,25.77570272446088
706,30.815707330495364
708,42.730544660160014
711,37.951846850827295
717,42.298129419847605
721,33.27704381015215
722,47.67692834665718
